cod_prov;prov;nameH;freqH;por1000H;nameM;freqM;por1000M
01;ARABA/ÁLAVA;FRANCISCO JAVIER;552;34.4;MARIA CARMEN;618;38.7
02;ALBACETE;ANTONIO;2385;64.7;MARIA CARMEN;1669;45
03;ALICANTE/ALACANT;ANTONIO;3745;48;MARIA CARMEN;4533;57.7
04;ALMERÍA;FRANCISCO;2801;75.5;MARIA CARMEN;2117;56.5
05;AVILA;JESUS;821;47.3;MARIA CARMEN;936;54
06;BADAJOZ;MANUEL;5046;71.2;MARIA CARMEN;3809;52.8
07;BALEARS, ILLES;ANTONIO;3086;75.2;CATALINA;2815;68.7
08;BARCELONA;ANTONIO;12134;41.1;MONTSERRAT;19052;64.4
09;BURGOS;FRANCISCO JAVIER;1187;39.8;MARIA CARMEN;1395;46.5
10;CÁCERES;ANTONIO;1600;34.2;MARIA CARMEN;2479;52.4
11;CÁDIZ;MANUEL;7341;75.9;MARIA CARMEN;7849;79.8
12;CASTELLÓN/CASTELLÓ;MANUEL;949;34.5;MARIA CARMEN;1626;58.6
13;CIUDAD REAL;ANTONIO;2649;50.4;MARIA CARMEN;3394;63.7
14;CÓRDOBA;ANTONIO;7518;96.3;MARIA CARMEN;5971;75.6
15;CORUÑA, A;JOSE MANUEL;5155;70.3;MARIA CARMEN;6769;88.9
16;CUENCA;JESUS;1144;48.2;MARIA CARMEN;1494;62.1
17;GIRONA;JOSEP;1534;54.3;MONTSERRAT;1730;61.3
18;GRANADA;ANTONIO;6766;82.6;MARIA CARMEN;5716;68.1
19;GUADALAJARA;JESUS;487;41.7;MARIA CARMEN;638;56.4
20;GIPUZKOA;FRANCISCO JAVIER;2510;44.3;MARIA CARMEN;2265;39.6
21;HUELVA;MANUEL;2854;79.1;MARIA CARMEN;1977;53.9
22;HUESCA;JOSE ANTONIO;668;43.8;MARIA PILAR;1064;69
23;JAÉN;ANTONIO;5960;79.8;MARIA CARMEN;4336;56.7
24;LEÓN;JOSE LUIS;1586;33.8;MARIA CARMEN;2382;49.9
25;LLEIDA;RAMON;1158;43.9;MONTSERRAT;1391;53.1
26;RIOJA, LA;FRANCISCO JAVIER;680;37.3;MARIA CARMEN;981;52.9
27;LUGO;MANUEL;2021;71.8;MARIA CARMEN;2340;81.8
28;MADRID;FRANCISCO JAVIER;11721;37.7;MARIA CARMEN;17788;56.9
29;MÁLAGA;ANTONIO;6467;78.2;MARIA CARMEN;5097;61
30;MURCIA;ANTONIO;6758;80;JOSEFA;5186;60.6
31;NAVARRA;FRANCISCO JAVIER;2577;69.4;MARIA CARMEN;1708;46.1
32;OURENSE;MANUEL;1897;75.3;MARIA CARMEN;1699;65.9
33;ASTURIAS;JOSE MANUEL;2945;38;MARIA CARMEN;3648;46.3
34;PALENCIA;JUAN CARLOS;661;37.1;MARIA CARMEN;1042;58.4
35;PALMAS, LAS;ANTONIO;1471;22.3;MARIA CARMEN;3530;53
36;PONTEVEDRA;MANUEL;4209;67.9;MARIA CARMEN;5179;80.5
37;SALAMANCA;FRANCISCO JAVIER;1135;33.8;MARIA CARMEN;1834;54.2
38;SANTA CRUZ DE TENERIFE;FRANCISCO JAVIER;1468;26.4;MARIA CANDELARIA;2905;51.4
39;CANTABRIA;FRANCISCO JAVIER;1246;32;MARIA CARMEN;2017;51.4
40;SEGOVIA;JUAN CARLOS;545;36.2;MARIA CARMEN;781;50.9
41;SEVILLA;MANUEL;12645;92.3;MARIA CARMEN;10717;76.8
42;SORIA;JESUS;408;44.3;MARIA CARMEN;511;55.5
43;TARRAGONA;JORDI;1091;35.6;MONTSERRAT;1687;54.5
44;TERUEL;MANUEL;466;35.2;MARIA PILAR;969;72.3
45;TOLEDO;JESUS;2021;48.7;MARIA CARMEN;2881;69.9
46;VALENCIA/VALÈNCIA;VICENTE;5587;40.4;MARIA CARMEN;8302;59.6
47;VALLADOLID;JUAN CARLOS;1440;40.8;MARIA CARMEN;1986;55.6
48;BIZKAIA;FRANCISCO JAVIER;3289;36.3;MARIA CARMEN;3672;40.1
49;ZAMORA;MANUEL;778;36.9;MARIA CARMEN;1261;60.2
50;ZARAGOZA;FRANCISCO JAVIER;2304;40.4;MARIA PILAR;5362;94.2
51;CEUTA;FRANCISCO JAVIER;407;58.5;MARIA CARMEN;365;51.8
52;MELILLA;ANTONIO;234;36.5;MARIA CARMEN;391;59.5
66;NACIDOS EN EL EXTRANJERO;MOHAMED;8537;16.3;MARIA CARMEN;5268;9.2
